project_gid,name,content_last_activity,days_since_content_activity,genuinely_stale_content_only,tasks_checked,stories_checked
1203256287167556,[DEV] P000895 - Tract,2026-02-11T20:58:42.388000+00:00,203,True,9,140
1207686072480981,Tobago | Corporate Assets,2025-12-03T15:02:59.787000+00:00,273,True,12,151
1207901738291904,Biz Dev ,2024-07-31T15:40:04.244000+00:00,763,True,1,13
1208277764406443,F.A.B. Requests,2024-10-08T20:05:19.145000+00:00,694,True,1,6
1208315991371618,Airbus - A400M,2025-12-11T00:15:46.983000+00:00,266,True,8,160
1208517447344693,Tobago | Cruise Ship Schedule Assets,2025-11-14T21:27:23.561000+00:00,292,True,10,137
1208708249248661,Payroll and Tax Tasks,2026-02-27T16:48:24.964000+00:00,187,True,17,793
1208737804434371,[Example] General work management,2024-11-21T10:45:12.780000+00:00,651,True,11,13
1208737804434374,[Example] Team collaboration,2024-11-21T10:03:53.362000+00:00,651,True,11,13
1208737804434377,[Example] Event planning,2024-11-21T10:02:22.052000+00:00,651,True,11,13
1209309485958402,Tobago | Social Media Assets,2026-02-22T13:43:19.215000+00:00,192,True,26,292
1210010592970285,P0005273 - Sands Capital - Client-facing,2025-06-30T16:10:56.077000+00:00,429,True,4,23
1210167981092335,GG INT Projects ,2026-02-04T08:52:02.629000+00:00,211,True,15,440
1210332757698540,M&A - Due Diligence Falcon,2026-02-02T18:07:48.119000+00:00,212,True,23,134
1211375361505143,Cory's Internal Projects,2025-11-07T18:34:41.129000+00:00,299,True,3,14
1211794312040342,ICIS OCI Report,2026-01-14T09:00:25.672000+00:00,232,True,7,38
1211794316974740,Nemours Power BI,2025-11-19T16:24:20.132000+00:00,287,True,5,36
1211994314451601,Honda Hot Sheet - Set Up,2025-11-19T19:06:34.167000+00:00,287,True,2,16
1212272605279527,MAN Pacer,2026-01-07T16:10:09.375000+00:00,238,True,10,44
1212335811020021,Phuoc's Outsource project,2025-12-10T04:14:39.929000+00:00,267,True,1,7
1212707108257006,Window World Billboards - P0011610	,2026-01-08T16:30:39.377000+00:00,237,True,1,3
1213087963600771,Airbus Campaign Template,2026-02-03T16:33:25.836000+00:00,211,True,19,19
1213523621867432,Campaign Template,2026-03-05T15:14:30.335000+00:00,181,True,6,6
1202334306212962,Jewish Community Foundation - JCF Misc. Tasks / AdHoc Requests Template,2026-02-13T23:44:20.092000+00:00,201,True,24,873
1202662431551909,"Forms, Templates & How-Tos",2025-10-04T17:47:10.963000+00:00,333,True,13,27
1202889070737640,P000382 - Client Portal,2025-10-06T08:32:10.152000+00:00,332,True,48,1142
1203810268500709,Duplicate of AHA: Virginia's Template,2023-01-24T20:07:15.309000+00:00,1317,True,26,53
1203823186530286,MEDC - Duplicate of AHA: Virginia's Template,2023-01-25T01:51:25.718000+00:00,1317,True,26,64
1205116582532605,Colder Products Company - 27701 - Marketo Education Content & Presentations,2023-05-10T14:45:15.981000+00:00,1211,True,52,70
1205278949378724,Edge Creative Team L10 Meeting ,2025-12-28T02:22:26.367000+00:00,249,True,297,1768
1205521145680103,ESLT,2026-02-18T23:51:27.927000+00:00,196,True,364,1398
1206049909396927,MEDC - MEDC - FY24 MEDC Template,2025-01-24T14:22:51.241000+00:00,586,True,83,130
1206266703932396,Secure US HR,2026-02-08T15:00:49.218000+00:00,206,True,138,936
1206605126358616,"Client Experience SLT - Customer Experience SLT meeting - headlines, issues, action items board",2024-03-19T23:55:23.599000+00:00,897,True,9,21
1207092348167776,Search & Social Team NA,2026-01-15T16:50:23.108000+00:00,230,True,20,79
1207142093315322,Global HR Projects,2026-03-01T22:54:46.319000+00:00,185,True,31,226
1207317004088490,Client Experience SLT - Client Services Ops - Prioritisation,2025-12-28T02:27:46.820000+00:00,249,True,21,54
1207377560958306,Social Media L10,2026-02-01T21:54:39.721000+00:00,213,True,212,1010
1207708514301697,Template - Standardised 30-day Client Onboarding,2025-12-27T16:23:48.492000+00:00,249,True,62,140
1207719087523191,Template - Enhanced QBR (Stage: Pilot round 2),2025-12-28T12:43:05.724000+00:00,248,True,29,61
1207762720344399,TEMPLATE - Campaign generic (existing client),2025-12-28T06:09:30.452000+00:00,249,True,40,63
1207799740283116,Gravity Briefing Templates,2025-12-11T00:17:09.028000+00:00,266,True,3,20
1207945262643680,TEMPLATE - Campaign media (existing client - Nemours as example),2026-01-03T06:48:42.980000+00:00,243,True,22,38
1208136693780130,Bosley | Creative Requests,2026-02-13T23:40:38.170000+00:00,201,True,6,148
1208274449473480,Laura's 100 Days,2024-09-19T14:04:55.398000+00:00,713,True,21,161
1208343884336082,General Creative Project Template,2024-10-10T19:37:30.743000+00:00,692,True,40,47
1208433846183384,Tobago | Guide updates,2025-12-17T15:38:59.066000+00:00,259,True,13,112
1208491973394829,Media Process Documentation,2024-11-25T13:43:13.354000+00:00,646,True,16,122
1208552028063608,Annual Leave,2026-02-09T03:30:44.596000+00:00,206,True,8,39
1208613421846778,US Surge Session ,2025-12-03T17:10:30.823000+00:00,273,True,44,205
1208693467242857,Project Management L10 Meeting,2026-01-09T16:59:27.534000+00:00,236,True,39,139
1208895982548211,AI Council,2026-02-18T23:52:09.099000+00:00,196,True,46,226
1209037945671167,Workflow Specialist - Creative Requests,2026-02-14T08:38:14.494000+00:00,201,True,13,23
1209088554039420,Veristat - Internal paid task board,2025-03-31T14:16:31.300000+00:00,520,True,21,86
1209099039488163,FinT,2026-03-01T01:35:18.830000+00:00,186,True,28,227
1209106195634625,SoMe SLT WIP ,2026-02-15T06:03:14.684000+00:00,200,True,45,234
1209111585087501,StackGen Managed Service,2026-02-15T04:53:08.939000+00:00,200,True,6,9
1209202153796171,Gravity Intel L10,2026-02-21T20:19:16.400000+00:00,193,True,55,215
1209274054486691,MEDC - MPLS PROJECT TEMPLATE 2024 - Carli,2025-01-29T17:04:50.161000+00:00,581,True,44,71
1209274542619889,MPLS PROJECT TEMPLATE 2024,2025-01-29T18:07:10.992000+00:00,581,True,45,72
1209280160063465,MPLS PROJECT TEMPLATE 2024 - Carli,2025-01-31T14:40:34.648000+00:00,579,True,44,73
1209386444522059,Social Media - Project Template,2026-03-01T09:42:04.806000+00:00,186,True,45,51
1209423333082418,ESG - Environment and Climate Change,2025-04-30T13:03:47.840000+00:00,490,True,5,9
1209494907392735,Continuous Performance Management (CPM),2026-03-01T22:54:46.319000+00:00,185,True,43,273
1209503377452480,Producer Onboarding,2026-02-28T17:46:49.745000+00:00,186,True,19,46
1209550218166667,Airbus - A321 XLR - New visual -  P0009597.3.57,2026-01-14T12:17:59.358000+00:00,231,True,21,346
1209578928524714,Requests,2025-03-05T16:14:51.642000+00:00,546,True,1,3
1209635536028914,Honda 2025,2025-12-12T14:17:28.406000+00:00,264,True,21,83
1209648538157513,Client facing-MS Project Template,2025-04-26T03:33:28.899000+00:00,495,True,2,7
1209730655259960,[DRAFT] Finance Requests - Content & Production,2025-03-20T16:08:02.082000+00:00,531,True,1,1
1209734868131566,Duplicate of Website Project Template,2025-03-20T09:56:30.072000+00:00,532,True,66,74
1209748469713605,P0010908 FY26 - CRF Fun Bikes Campaign ,2026-02-13T23:39:41.160000+00:00,201,True,27,190
1209794410655108,P0009700 - Allegiance Capital Corporation Dashboard,2025-09-30T03:32:15.168000+00:00,338,True,8,34
1209846013109075,Akzo Aerospace - PR 2025,2025-04-30T00:00:08.145000+00:00,491,True,3,6
1209849441454098,Monthly Close,2025-06-06T05:02:41.137000+00:00,454,True,1,0
1209874946790681,Creative/Video New Biz Requests ,2025-05-20T14:12:52.520000+00:00,470,True,5,32
1209957396336537,P0004598 - Client Portal,2025-04-23T01:07:57.113000+00:00,498,True,4,11
1210018467068307,Demo,2025-05-19T03:19:01.420000+00:00,472,True,2,28
1210056182565331,Marketing ideas inbox 🌱,2025-04-28T11:50:58.799000+00:00,493,True,9,19
1210189067865249,Social Media Calendar,2025-05-07T17:11:27.135000+00:00,483,True,8,8
1210232853367873,HieuNguyen-webhook,2025-05-13T02:40:26.230000+00:00,478,True,3,3
1210256812555002,EOR - Contractors- Offshore Talent: Global HR Project ,2026-02-25T14:59:46.113000+00:00,189,True,25,130
1210269472125753,Honda Personalization - Old Tickets,2025-05-21T08:49:41.423000+00:00,470,True,41,229
1210269472127811,Honda Phase 2 - Old Tickets,2025-07-02T03:59:24.595000+00:00,428,True,150,1057
1210285633832745,Project asana auto import,2025-05-23T02:34:31.276000+00:00,468,True,8,37
1210343147453054,Honda Powersports | CRM | P0010712,2026-02-10T23:31:33.659000+00:00,204,True,12,132
1210349074098996,Internal - NYBG - MS,2025-07-11T03:45:39.721000+00:00,419,True,6,46
1210356685161390,Honda Powersports | Digital Personas,2025-10-29T23:00:19.732000+00:00,308,True,11,23
1210386834127080,Managed Service | Template ,2025-05-28T08:33:51.574000+00:00,463,True,8,16
1210386975840249,Client facing-MS Project | Template,2025-05-28T08:39:42.009000+00:00,463,True,2,2
1210398297448868,"Andy, Rory, George - Group Finance Project Work ",2025-09-30T09:31:56.679000+00:00,338,True,5,5
1210461130881735,Client facing-MS | Project Template,2025-06-05T09:34:33.154000+00:00,455,True,6,10
1210500372058196,Alto-Shaam US - April - June (P0009285),2025-12-16T13:34:25.759000+00:00,260,True,19,74
1210928761441809,Marketing Dr. Accounting Transisition,2025-07-30T14:29:59.020000+00:00,399,True,1,1
1210998309603249,P0011394 Dematic Website Audit,2025-10-01T11:58:55.840000+00:00,336,True,49,68
1211082929006116,Edge - Media Team Pod Structure,2025-08-19T15:45:29.792000+00:00,379,True,20,20
1211377977815264,All Hands - Sept,2025-09-24T05:02:39.286000+00:00,344,True,14,37
1211395593256657,Pinpoint Q4 - Enhancements,2025-09-19T12:38:04.768000+00:00,348,True,7,9
1211523432092866,2026 Budget,2025-10-16T23:00:58.340000+00:00,321,True,6,34
1211547254427307,New Business - Deck Clean Up Requests,2026-01-06T13:23:55.695000+00:00,239,True,1,8
1211548240307868,HR Projects ,2025-10-03T19:17:36.920000+00:00,334,True,7,8
1211705098156379,Infosys - Internal Task Board,2025-12-19T00:00:39.076000+00:00,258,True,18,74
1211712904377238,Media Data Analytics - Dashboard Internal Feedback,2025-10-22T01:52:38.811000+00:00,316,True,1,1
1211721254960601,P0011247 Blueshift Materials Brand Strategy Deliverables,2025-11-03T21:15:42.760000+00:00,303,True,2,8
1211722469947885,NoHo Campaign,2025-11-30T06:34:09.221000+00:00,277,True,3,3
1211784426963311,Pod Structure,2025-12-22T05:05:46.091000+00:00,255,True,33,84
1211820931353824,SNAP,2025-11-19T14:34:05.320000+00:00,287,True,3,16
1211820933100839,Certas,2025-12-15T15:34:09.422000+00:00,261,True,5,18
1211823676932639,Infosys,2025-11-04T15:57:47.753000+00:00,302,True,7,16
1211848018634151,EOR questions,2025-11-19T14:44:17.405000+00:00,287,True,4,14
1212005915856503,Global HR Transitions,2025-11-20T16:00:50.835000+00:00,286,True,9,10
1212241930115059,MY26 CBR Shoot ,2025-12-02T20:33:06.182000+00:00,274,True,35,36
1212241930115071,MY26 Pioneer Shoot ,2025-12-02T20:36:37.057000+00:00,274,True,35,36
1212241930115133,Honda Powersports | MY26 Content Series Shoot Ep 3 | P0013106,2025-12-02T21:02:46.839000+00:00,274,True,35,47
1212308341554076,UK 2026 Events Calendar,2025-12-04T16:22:20.957000+00:00,272,True,1,2
1212354962047187,Creative Template,2025-12-10T16:19:22.907000+00:00,266,True,8,13
1212391576202277,🎪 Event Request Tracker - Start,2025-12-11T10:41:09.951000+00:00,266,True,7,14
1212463040498365,Enhanced QBR (Stage: Release) Template,2025-12-15T16:57:14.571000+00:00,261,True,29,30
1212485129400925,Honda Powersports | Social | P003432,2026-01-06T20:52:38.824000+00:00,239,True,1,4
1212485129401000,September Model Release,2026-01-07T19:02:16.253000+00:00,238,True,8,21
1212485129401012,January Model Release,2026-01-07T19:02:12.811000+00:00,238,True,6,26
1212509905635619,North Light Media - All - P0012023,2025-12-19T17:45:49.443000+00:00,257,True,1,1
1212510075566397,INT Via Invoice Plan - P0011568,2026-01-30T06:02:59.091000+00:00,216,True,12,38
1212510539874819,IHA Action Items - P0011879,2025-12-19T17:40:56.478000+00:00,257,True,19,75
1212637752281699,AkzoNobel Interpon Powder Coatings,2026-01-22T11:16:26.216000+00:00,224,True,30,74
1212637755782463,DEMO - Interpon Powder Coatings PR,2026-01-07T14:22:21.801000+00:00,238,True,9,11
1212637755782518,Optex PR Calendar,2026-01-07T14:27:58.428000+00:00,238,True,20,44
1212650985215238,🚘 Via x MD New Client Intake,2026-01-05T21:45:03.770000+00:00,240,True,41,77
1212681573743532,Tipping Point Retainer - P0012099,2026-01-06T19:20:10.405000+00:00,239,True,47,98
1212802287357658,"Mar, 2026 DX Blog",2026-02-24T01:08:50.075000+00:00,191,True,11,31
1212909253528830,Honda Powersports | Embargo,2026-01-23T16:34:45.264000+00:00,222,True,8,16
1212975318887693,FDD - DR production,2026-01-26T12:08:25.113000+00:00,219,True,1,1
1212986863477368,P0012608 Fernet x Miller Partership Assets,2026-01-27T06:04:14.606000+00:00,219,True,7,16
