project_gid,name,true_last_activity,days_since_activity,genuinely_stale,tasks_checked,stories_checked
1203256287167556,[DEV] P000895 - Tract,2026-07-14T04:24:34.190000+00:00,51,False,9,140
1201804335573457,IT Requests,2026-02-25T06:26:17.467000+00:00,190,True,94,545
1202307572099831,55 - HTPD Town Hall PPT,2026-02-25T06:26:36.029000+00:00,190,True,12,115
1202345380033501,[DEV - P000913] Outrider [Sprint],2026-02-25T06:26:37.062000+00:00,190,True,151,1492
1205116338250594,MPLS & ABM Transition,2026-02-25T06:27:22.381000+00:00,190,True,28,127
1205116582692367,Ops Tickets,2026-02-25T06:27:14.076000+00:00,190,True,130,921
1206107247955965,Meetings,2026-02-25T06:27:37.071000+00:00,190,True,102,387
1206195184666185,Gravity Branded Email Templates,2026-02-25T06:27:38.918000+00:00,190,True,3,19
1206611470695262,PR team - Internal projects,2026-02-25T06:27:49.012000+00:00,190,True,1,3
1206697016577828,Client Service Onboarding: Gates,2026-02-25T06:27:42.499000+00:00,190,True,74,308
1207076018378515,P0002698 - PKF Little John Advisory Socials templates,2026-02-25T06:27:53.740000+00:00,190,True,3,16
1207227246081051,MPLS PROJECT TEMPLATE 2023,2026-02-25T06:27:59.841000+00:00,190,True,8,13
1207227246081055,MPLS PROJECT TEMPLATE 2023,2026-02-25T06:27:59.900000+00:00,190,True,8,13
1207472348795961,Global Process Documentation ,2026-02-25T06:27:56.888000+00:00,190,True,1,10
1207686072480981,Tobago | Corporate Assets,2026-07-14T10:54:18.533000+00:00,51,False,12,151
1207719152384585,P002256 HPS Email Template Creation,2026-02-25T06:28:01.168000+00:00,190,True,7,39
1207807429021677,Tobago | Design Templates,2026-02-25T06:27:53.694000+00:00,190,True,6,72
1207901738291904,Biz Dev ,2026-04-02T18:54:53.443000+00:00,153,False,1,13
1207936539165855,Global Resource Management - Creative ,2026-02-25T06:27:57.290000+00:00,190,True,4,30
1207997285909057,Airbus - H145M ,2026-02-25T06:27:58.894000+00:00,190,True,4,67
1207997285909067,P0002802.1.12 - Airbus - A220,2026-02-25T06:27:58.956000+00:00,190,True,3,70
1208277764406443,F.A.B. Requests,2026-03-21T18:28:34.796000+00:00,165,False,1,6
1208315991371618,Airbus - A400M,2026-04-10T22:29:47.470000+00:00,145,False,8,160
1208446323127302,Julie's To-Do List,2025-09-21T13:24:29.493000+00:00,346,True,3,13
1208517447344693,Tobago | Cruise Ship Schedule Assets,2026-07-14T10:54:14.995000+00:00,51,False,10,137
1208566644849979,Allegiance Tech Audit (P001857),2025-09-21T13:25:53.259000+00:00,346,True,1,10
1208708249248661,Payroll and Tax Tasks,2026-05-15T19:13:46.236000+00:00,110,False,17,793
1208737804434371,[Example] General work management,2026-06-03T11:47:03.481000+00:00,91,False,11,13
1208737804434374,[Example] Team collaboration,2026-06-03T11:47:03.474000+00:00,91,False,11,13
1208737804434377,[Example] Event planning,2026-06-03T11:47:03.471000+00:00,91,False,11,13
1208824916222701,Gravity - HR Request - Wellbeing Flyer Design,2026-02-07T14:51:54.951000+00:00,207,True,1,6
1208966612840794,Paid Media PM Asana Template - Quarterly,2025-09-21T13:30:38.414000+00:00,346,True,37,37
1209309485958402,Tobago | Social Media Assets,2026-07-14T10:54:09.467000+00:00,51,False,26,292
1209341569523023,Gravity Email Newsletter,2025-09-21T13:36:13.786000+00:00,346,True,1,12
1209810603298996,Paul's Job,2025-09-21T13:44:52.618000+00:00,346,True,1,5
1210010592970285,P0005273 - Sands Capital - Client-facing,2026-08-19T04:42:44.597000+00:00,15,False,4,23
1210167981092335,GG INT Projects ,2026-07-22T07:59:51.062000+00:00,43,False,15,440
1210332757698540,M&A - Due Diligence Falcon,2026-08-07T15:57:39.009000+00:00,26,False,23,134
1211375361505143,Cory's Internal Projects,2026-04-19T03:11:58.593000+00:00,137,False,3,14
1211794312040342,ICIS OCI Report,2026-04-26T11:26:49.071000+00:00,129,False,7,38
1211794316974740,Nemours Power BI,2026-04-26T11:27:01.915000+00:00,129,False,5,36
1211994314451601,Honda Hot Sheet - Set Up,2026-07-02T18:47:32.307000+00:00,62,False,2,16
1212272605279527,MAN Pacer,2026-04-27T09:00:36.840000+00:00,129,False,10,44
1212335811020021,Phuoc's Outsource project,2026-04-27T07:21:42.086000+00:00,129,False,1,7
1212682710571104,P0012458 - FY25 Honda x Progressive Sweepstakes CRF450RX,2026-02-18T16:34:46.601000+00:00,196,True,5,57
1212707108257006,Window World Billboards - P0011610	,2026-08-06T23:28:58.317000+00:00,27,False,1,3
1213087963600771,Airbus Campaign Template,2026-07-02T19:16:50.719000+00:00,62,False,19,19
1213523621867432,Campaign Template,2026-07-17T15:17:54.598000+00:00,47,False,6,6
1201419888491769,Team Goals & Milestones,2026-02-25T06:26:16.200000+00:00,190,True,7,7
1201630530770402,Sprint Internal Projects,2026-02-25T06:26:19.370000+00:00,190,True,33,264
1202249986869628,AHA: Project Template,2026-02-25T06:26:34.423000+00:00,190,True,30,185
1202285611370498,Nemours Template,2026-02-25T06:26:35.176000+00:00,190,True,34,44
1202334306212962,Jewish Community Foundation - JCF Misc. Tasks / AdHoc Requests Template,2026-06-08T01:03:56.547000+00:00,87,False,24,873
1202577974705450,TEMPLATE _ FORD TV Production,2026-02-25T06:26:34.705000+00:00,190,True,33,97
1202662431551909,"Forms, Templates & How-Tos",2026-06-01T21:54:29.477000+00:00,93,False,13,27
1202889070737640,P000382 - Client Portal,2026-04-02T18:54:53.434000+00:00,153,False,48,1142
1202901958514902,Rachel's New Bus Template - Howard Hughes Project,2026-02-25T06:26:41.232000+00:00,190,True,17,42
1202932238247925,Art Directors,2026-02-25T06:26:42.191000+00:00,190,True,236,4945
1202932238247962,Copywriters,2026-02-25T06:26:42.261000+00:00,190,True,151,2447
1203453980586490,[16653] Gifts That Go 2022 Holiday Email,2026-02-25T06:26:46.218000+00:00,190,True,21,123
1203575688653095,Sprint Daily Task Management,2026-02-25T06:26:49.447000+00:00,190,True,673,3924
1203665223001281,Template - TV taggin,2026-02-25T06:26:41.190000+00:00,190,True,34,95
1203810268500709,Duplicate of AHA: Virginia's Template,2026-03-23T13:30:05.509000+00:00,163,False,26,53
1203823186530286,MEDC - Duplicate of AHA: Virginia's Template,2026-05-06T12:10:40.566000+00:00,119,False,26,64
1205116269102358,Creative Requests,2026-02-25T06:27:04.239000+00:00,190,True,200,1384
1205116338250328,Open Enrollment - 2024,2026-02-25T06:27:21.401000+00:00,190,True,16,38
1205116338250588,Wes - Task from Email,2026-02-25T06:27:22.285000+00:00,190,True,15,69
1205116338251100,L10 Example,2026-02-25T06:27:14.289000+00:00,190,True,25,29
1205116582532605,Colder Products Company - 27701 - Marketo Education Content & Presentations,2026-04-02T16:42:01.912000+00:00,153,False,52,70
