Name,GID,Team,Modified,Members
 P000660 MY23 Talon Accessory Highlight  Video (FY22A),1203502967963346,Honda,2023-10-09T14:47:57.394Z,"[{'gid': '1199713442278028', 'resource_type': 'user'}, {'gid': '1201326579002373', 'resource_type': 'user'}, {'gid': '1201602920261772', 'resource_type': 'user'}, {'gid': '1203650117376674', 'resource_type': 'user'}]"
P001211 Race Win Ads (FY24),1204326489219199,Honda,2024-02-15T19:50:43.609Z,"[{'gid': '1201273468880094', 'resource_type': 'user'}, {'gid': '1201819725251174', 'resource_type': 'user'}, {'gid': '1201602920261772', 'resource_type': 'user'}, {'gid': '755946862470114', 'resource_type': 'user'}, {'gid': '1201881782049448', 'resource_type': 'user'}, {'gid': '1116203513482350', 'resource_type': 'user'}, {'gid': '1201355885843592', 'resource_type': 'user'}, {'gid': '1201840747987770', 'resource_type': 'user'}, {'gid': '1201879671482073', 'resource_type': 'user'}, {'gid': '1201822933492231', 'resource_type': 'user'}, {'gid': '1205808945801049', 'resource_type': 'user'}, {'gid': '1205911581923945', 'resource_type': 'user'}, {'gid': '1205720756575634', 'resource_type': 'user'}, {'gid': '1201712374604400', 'resource_type': 'user'}]"
P001191 FY24 Misc Production,1204326489219160,Honda,2024-02-13T17:25:05.737Z,"[{'gid': '1201879671482073', 'resource_type': 'user'}, {'gid': '1201273468880094', 'resource_type': 'user'}, {'gid': '1201822933492231', 'resource_type': 'user'}, {'gid': '755946862470114', 'resource_type': 'user'}, {'gid': '1201326579002373', 'resource_type': 'user'}, {'gid': '1201840747987770', 'resource_type': 'user'}, {'gid': '1199713442278028', 'resource_type': 'user'}, {'gid': '1201840747987772', 'resource_type': 'user'}, {'gid': '1203901162757292', 'resource_type': 'user'}, {'gid': '1201355885843592', 'resource_type': 'user'}, {'gid': '1204419554292115', 'resource_type': 'user'}, {'gid': '1205720756575634', 'resource_type': 'user'}]"
Creative Requests,1199692542844165,Creative,2024-02-16T05:29:17.168Z,"[{'gid': '1201348973435981', 'resource_type': 'user'}, {'gid': '1202942584784352', 'resource_type': 'user'}]"
TEMPLATE: Alcon - MULTIPLE DELIVERABLES,1202959082126727,Alcon,2023-07-25T20:02:13.160Z,[]
FY23 Timeline ,1202242374426497,LT Foods,2023-10-19T23:06:22.246Z,"[{'gid': '1202065412771670', 'resource_type': 'user'}, {'gid': '1202308677840558', 'resource_type': 'user'}]"
16855_Social/ Account status ,1202554340801024,LT Foods,2023-10-19T23:06:22.225Z,[]
LT Foods_000144_Fresh Start FY23,1203211202131955,LT Foods,2023-10-19T23:06:22.243Z,"[{'gid': '1201840747987772', 'resource_type': 'user'}]"
P000099 LTF Royal Redesign,1202437355343094,LT Foods,2024-02-15T00:46:38.989Z,"[{'gid': '1201639845710973', 'resource_type': 'user'}, {'gid': '1201371484339884', 'resource_type': 'user'}, {'gid': '1202125468462442', 'resource_type': 'user'}, {'gid': '1202342087773978', 'resource_type': 'user'}, {'gid': '1201881980071466', 'resource_type': 'user'}, {'gid': '1201932329203469', 'resource_type': 'user'}, {'gid': '1201371484416397', 'resource_type': 'user'}, {'gid': '1205139344486175', 'resource_type': 'user'}, {'gid': '1202082193459252', 'resource_type': 'user'}, {'gid': '1202192593999042', 'resource_type': 'user'}, {'gid': '1203901162757292', 'resource_type': 'user'}, {'gid': '1205474763211094', 'resource_type': 'user'}, {'gid': '1202064676163299', 'resource_type': 'user'}, {'gid': '1205984760987237', 'resource_type': 'user'}, {'gid': '1205521148330184', 'resource_type': 'user'}, {'gid': '1205139223098373', 'resource_type': 'user'}, {'gid': '1206111472776840', 'resource_type': 'user'}, {'gid': '1205984760264410', 'resource_type': 'user'}]"
LT Foods_P000462_Winter Organic Social,1203075348126543,LT Foods,2023-07-25T20:03:27.649Z,"[{'gid': '1201801255411410', 'resource_type': 'user'}]"
LT Foods_000142_Diwali FY 23 ,1202447172583049,LT Foods,2023-10-19T23:06:22.252Z,[]
Content Requests,1201295173460367,Gravity - Content Practice Area,2024-02-15T21:02:41.222Z,"[{'gid': '1201853457626650', 'resource_type': 'user'}, {'gid': '1202192593999078', 'resource_type': 'user'}, {'gid': '1202192593999036', 'resource_type': 'user'}, {'gid': '1205840309336934', 'resource_type': 'user'}, {'gid': '1205921754203782', 'resource_type': 'user'}, {'gid': '1206316946908175', 'resource_type': 'user'}]"
Digital/Dev Work Requests,1201831778756823,Digital-Dev,2024-02-16T09:22:21.734Z,"[{'gid': '1201639845710973', 'resource_type': 'user'}, {'gid': '1201371484381708', 'resource_type': 'user'}, {'gid': '1202342087773978', 'resource_type': 'user'}, {'gid': '1201881980071466', 'resource_type': 'user'}, {'gid': '1201413415538593', 'resource_type': 'user'}, {'gid': '1201479337859149', 'resource_type': 'user'}, {'gid': '1116203513482350', 'resource_type': 'user'}, {'gid': '1201413415538595', 'resource_type': 'user'}, {'gid': '1201348973435981', 'resource_type': 'user'}, {'gid': '1200170631438159', 'resource_type': 'user'}, {'gid': '1201622170349044', 'resource_type': 'user'}, {'gid': '1202593657599921', 'resource_type': 'user'}]"
P001118_MEDC_MPC_OOH,1204089951064897,MEDC,2023-07-25T20:03:31.938Z,"[{'gid': '1201896573511855', 'resource_type': 'user'}]"
MEDC FY23 Misc. Projects ,1204186999664415,MEDC,2023-11-17T16:29:25.449Z,"[{'gid': '1201896573511855', 'resource_type': 'user'}, {'gid': '1201710975297325', 'resource_type': 'user'}, {'gid': '1201712374309396', 'resource_type': 'user'}, {'gid': '1201712374604400', 'resource_type': 'user'}, {'gid': '1201273468880094', 'resource_type': 'user'}, {'gid': '1204450890868803', 'resource_type': 'user'}]"
 P000548 _MEDC_2023_Campaign Development ,1202088964371456,MEDC,2023-11-27T16:25:49.903Z,"[{'gid': '1201710975297325', 'resource_type': 'user'}, {'gid': '1201896573511855', 'resource_type': 'user'}, {'gid': '1201712374604400', 'resource_type': 'user'}, {'gid': '1201712374309396', 'resource_type': 'user'}, {'gid': '1201853457626650', 'resource_type': 'user'}, {'gid': '1203100821139791', 'resource_type': 'user'}, {'gid': '1201273468880094', 'resource_type': 'user'}, {'gid': '1201639845710973', 'resource_type': 'user'}, {'gid': '1204450890868803', 'resource_type': 'user'}]"
P001299_MEDC_Project_Swing_Big,1204506278280505,MEDC,2023-11-30T22:04:18.783Z,"[{'gid': '1201896573511855', 'resource_type': 'user'}, {'gid': '1201710975297325', 'resource_type': 'user'}, {'gid': '1204450890868803', 'resource_type': 'user'}, {'gid': '1203100821139791', 'resource_type': 'user'}, {'gid': '1201712374309396', 'resource_type': 'user'}, {'gid': '1201712374604400', 'resource_type': 'user'}, {'gid': '1201273468880094', 'resource_type': 'user'}]"
MEDC- P000624 - Talent Campaign Phase 1,1203415212314683,MEDC,2023-11-03T16:17:13.814Z,"[{'gid': '1201896573511855', 'resource_type': 'user'}, {'gid': '1201710975297325', 'resource_type': 'user'}, {'gid': '1203100821139791', 'resource_type': 'user'}, {'gid': '1201348973435981', 'resource_type': 'user'}, {'gid': '1202414397910976', 'resource_type': 'user'}, {'gid': '1201840747987772', 'resource_type': 'user'}, {'gid': '1201621784546196', 'resource_type': 'user'}, {'gid': '1201273468880094', 'resource_type': 'user'}, {'gid': '1201879671482073', 'resource_type': 'user'}, {'gid': '1205139226462178', 'resource_type': 'user'}]"
MEDC- P001352 - Talent Campaign Phase 3,1204053427424290,MEDC,2023-11-27T20:47:27.132Z,"[{'gid': '1201840747987772', 'resource_type': 'user'}, {'gid': '1201621784546196', 'resource_type': 'user'}, {'gid': '1201273468880094', 'resource_type': 'user'}, {'gid': '1201879671482073', 'resource_type': 'user'}, {'gid': '1201896573511855', 'resource_type': 'user'}, {'gid': '1201710975297325', 'resource_type': 'user'}, {'gid': '1203100821139791', 'resource_type': 'user'}, {'gid': '1201348973435981', 'resource_type': 'user'}, {'gid': '1202414397910976', 'resource_type': 'user'}, {'gid': '1205139226462178', 'resource_type': 'user'}]"
